cal_date,is_open,pretrade_date
20161001,0,20160930
20161002,0,20160930
20161003,0,20160930
20161004,0,20160930
20161005,0,20160930
20161006,0,20160930
20161007,0,20160930
20161008,0,20160930
20161009,0,20160930
20161010,1,20160930
20161011,1,20161010
20161012,1,20161011
20161013,1,20161012
20161014,1,20161013
20161015,0,20161014
20161016,0,20161014
20161017,1,20161014
20161018,1,20161017
20161019,1,20161018
20161020,1,20161019
20161021,1,20161020
20161022,0,20161021
20161023,0,20161021
20161024,1,20161021
20161025,1,20161024
20161026,1,20161025
20161027,1,20161026
20161028,1,20161027
20161029,0,20161028
20161030,0,20161028
20161031,1,20161028
20161101,1,20161031
20161102,1,20161101
20161103,1,20161102
20161104,1,20161103
20161105,0,20161104
20161106,0,20161104
20161107,1,20161104
20161108,1,20161107
20161109,1,20161108
20161110,1,20161109
20161111,1,20161110
20161112,0,20161111
20161113,0,20161111
20161114,1,20161111
20161115,1,20161114
20161116,1,20161115
20161117,1,20161116
20161118,1,20161117
20161119,0,20161118
20161120,0,20161118
20161121,1,20161118
20161122,1,20161121
20161123,1,20161122
20161124,1,20161123
20161125,1,20161124
20161126,0,20161125
20161127,0,20161125
20161128,1,20161125
20161129,1,20161128
20161130,1,20161129
20161201,1,20161130
20161202,1,20161201
20161203,0,20161202
20161204,0,20161202
20161205,1,20161202
20161206,1,20161205
20161207,1,20161206
20161208,1,20161207
20161209,1,20161208
20161210,0,20161209
20161211,0,20161209
20161212,1,20161209
20161213,1,20161212
20161214,1,20161213
20161215,1,20161214
20161216,1,20161215
20161217,0,20161216
20161218,0,20161216
20161219,1,20161216
20161220,1,20161219
20161221,1,20161220
20161222,1,20161221
20161223,1,20161222
20161224,0,20161223
20161225,0,20161223
20161226,1,20161223
20161227,1,20161226
20161228,1,20161227
20161229,1,20161228
20161230,1,20161229
20161231,0,20161230
20170101,0,20161230
20170102,0,20161230
20170103,1,20161230
20170104,1,20170103
20170105,1,20170104
20170106,1,20170105
20170107,0,20170106
20170108,0,20170106
20170109,1,20170106
20170110,1,20170109
20170111,1,20170110
20170112,1,20170111
20170113,1,20170112
20170114,0,20170113
20170115,0,20170113
20170116,1,20170113
20170117,1,20170116
20170118,1,20170117
20170119,1,20170118
20170120,1,20170119
20170121,0,20170120
20170122,0,20170120
20170123,1,20170120
20170124,1,20170123
20170125,1,20170124
20170126,1,20170125
20170127,0,20170126
20170128,0,20170126
20170129,0,20170126
20170130,0,20170126
20170131,0,20170126
20170201,0,20170126
20170202,0,20170126
20170203,1,20170126
20170204,0,20170203
20170205,0,20170203
20170206,1,20170203
20170207,1,20170206
20170208,1,20170207
20170209,1,20170208
20170210,1,20170209
20170211,0,20170210
20170212,0,20170210
20170213,1,20170210
20170214,1,20170213
20170215,1,20170214
20170216,1,20170215
20170217,1,20170216
20170218,0,20170217
20170219,0,20170217
20170220,1,20170217
20170221,1,20170220
20170222,1,20170221
20170223,1,20170222
20170224,1,20170223
20170225,0,20170224
20170226,0,20170224
20170227,1,20170224
20170228,1,20170227
20170301,1,20170228
20170302,1,20170301
20170303,1,20170302
20170304,0,20170303
20170305,0,20170303
20170306,1,20170303
20170307,1,20170306
20170308,1,20170307
20170309,1,20170308
20170310,1,20170309
20170311,0,20170310
20170312,0,20170310
20170313,1,20170310
20170314,1,20170313
20170315,1,20170314
20170316,1,20170315
20170317,1,20170316
20170318,0,20170317
20170319,0,20170317
20170320,1,20170317
20170321,1,20170320
20170322,1,20170321
20170323,1,20170322
20170324,1,20170323
20170325,0,20170324
20170326,0,20170324
20170327,1,20170324
20170328,1,20170327
20170329,1,20170328
20170330,1,20170329
20170331,1,20170330
20170401,0,20170331
20170402,0,20170331
20170403,0,20170331
20170404,0,20170331
20170405,1,20170331
20170406,1,20170405
20170407,1,20170406
20170408,0,20170407
20170409,0,20170407
20170410,1,20170407
20170411,1,20170410
20170412,1,20170411
20170413,1,20170412
20170414,1,20170413
20170415,0,20170414
20170416,0,20170414
20170417,1,20170414
20170418,1,20170417
20170419,1,20170418
20170420,1,20170419
20170421,1,20170420
